household_size,number_of_rooms,daily_supply_hours,light_bulb_count,fan_count,television_count,fridge_count,ac_count,average_ac_usage_hours,bulb_energy_proxy,fan_energy_proxy,tv_energy_proxy,fridge_energy_proxy,ac_energy_proxy,total_selected_appliances,cooling_appliance_count,room_person_ratio,estimated_monthly_kwh
24,17,4.0,20,4,2,0,0,0,80.0,16.0,8.0,0,0,26,4,0.7083333333333334,25.290000000000003
8,5,9.0,13,2,1,0,0,0,78.0,16.0,4.0,0,0,16,2,0.625,34.03125
15,10,0.0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,2,1,0.6666666666666666,0.96
9,5,8.0,6,0,0,0,0,0,36.0,0.0,0.0,0,0,6,0,0.5555555555555556,5.9
6,3,11.0,2,0,0,0,0,0,12.0,0.0,0.0,0,0,2,0,0.5,5.9125
11,8,12.0,9,2,1,0,0,0,54.0,16.0,4.0,0,0,12,2,0.7272727272727273,52.95
10,4,0.0,6,2,0,1,0,0,0.0,0.0,0.0,12,0,9,2,0.4,19.92
23,9,7.0,10,6,4,1,0,0,60.0,42.0,16.0,12,0,21,6,0.391304347826087,90.125
6,3,6.0,6,2,1,0,0,0,36.0,12.0,4.0,0,0,9,2,0.5,12.1125
15,6,0.0,12,6,2,0,0,0,0.0,0.0,0.0,0,0,20,6,0.4,57.84
7,4,8.0,5,0,0,0,0,0,30.0,0.0,0.0,0,0,5,0,0.5714285714285714,4.4
6,5,5.0,6,0,0,0,0,0,30.0,0.0,0.0,0,0,6,0,0.8333333333333334,1.5
7,5,14.0,7,4,2,1,0,0,42.0,32.0,8.0,12,0,14,4,0.7142857142857143,87.41250000000001
12,6,5.0,19,6,2,0,0,0,95.0,30.0,8.0,0,0,27,6,0.5,23.75
13,12,5.0,13,0,1,0,0,0,65.0,0.0,4.0,0,0,14,0,0.9230769230769231,8.687500000000002
6,8,7.0,11,1,2,0,0,0,66.0,7.0,8.0,0,0,14,1,1.3333333333333333,12.20625
6,4,6.0,3,0,1,0,0,0,18.0,0.0,4.0,0,0,4,0,0.6666666666666666,3.0
7,7,3.0,9,0,1,0,0,0,27.0,0.0,3.0,0,0,10,0,1.0,9.87
4,7,10.0,7,3,1,0,0,0,42.0,24.0,4.0,0,0,11,3,1.75,19.812500000000004
18,9,2.0,12,0,0,0,0,0,24.0,0.0,0.0,0,0,12,0,0.5,5.040000000000001
10,9,3.0,11,0,0,0,0,0,33.0,0.0,0.0,0,0,11,0,0.9,5.76
14,5,4.0,3,0,0,0,0,0,12.0,0.0,0.0,0,0,3,0,0.35714285714285715,0.9
8,4,21.0,8,3,1,1,0,0,48.0,24.0,4.0,12,0,13,3,0.5,153.2325
5,3,2.0,3,0,0,0,0,0,6.0,0.0,0.0,0,0,3,0,0.6,0.24
8,8,3.0,8,0,0,0,0,0,24.0,0.0,0.0,0,0,8,0,1.0,0.99
7,5,5.0,1,0,0,0,0,0,5.0,0.0,0.0,0,0,1,0,0.7142857142857143,2.0625
5,8,3.0,4,1,1,1,0,0,12.0,3.0,3.0,12,0,7,1,1.6,19.02
4,7,2.0,1,0,1,0,0,0,2.0,0.0,2.0,0,0,2,0,1.75,0.75
6,6,3.0,10,1,1,0,0,0,30.0,3.0,3.0,0,0,12,1,1.0,6.18
4,8,2.0,8,3,2,1,0,0,16.0,6.0,4.0,12,0,14,3,2.0,17.22
6,10,8.0,7,0,1,0,0,0,42.0,0.0,4.0,0,0,8,0,1.6666666666666667,10.2
12,2,0.0,3,1,1,0,0,0,0.0,0.0,0.0,0,0,5,1,0.16666666666666666,9.48
2,2,5.0,4,0,1,0,0,0,20.0,0.0,4.0,0,0,5,0,1.0,8.25
7,1,21.0,3,0,0,0,0,0,18.0,0.0,0.0,0,0,3,0,0.14285714285714285,7.612499999999999
3,5,2.0,3,0,1,0,0,0,6.0,0.0,2.0,0,0,4,0,1.6666666666666667,2.1900000000000004
12,11,14.0,13,6,4,1,1,4,78.0,48.0,16.0,12,4,25,7,0.9166666666666666,153.2325
5,7,2.0,10,0,0,0,0,0,20.0,0.0,0.0,0,0,10,0,1.4,2.76
7,6,5.0,5,0,1,0,0,0,25.0,0.0,4.0,0,0,6,0,0.8571428571428571,2.78125
14,8,6.0,17,3,3,0,0,0,102.0,18.0,12.0,0,0,23,3,0.5714285714285714,22.8
2,11,10.0,1,1,1,1,0,0,6.0,8.0,4.0,12,0,4,1,5.5,50.875
7,7,7.0,8,3,3,0,0,0,48.0,21.0,12.0,0,0,14,3,1.0,25.112500000000004
21,13,0.0,25,14,0,0,0,0,0.0,0.0,0.0,0,0,39,14,0.6190476190476191,57.18
6,4,4.0,15,2,2,0,0,0,60.0,8.0,8.0,0,0,19,2,0.6666666666666666,17.82
13,8,7.0,7,0,2,0,0,0,42.0,0.0,8.0,0,0,9,0,0.6153846153846154,8.79375
1,1,10.0,4,1,1,0,0,0,24.0,8.0,4.0,0,0,6,1,1.0,31.25
19,6,1.0,5,0,0,0,0,0,5.0,0.0,0.0,0,0,5,0,0.3157894736842105,1.32
2,5,5.0,11,2,1,0,0,0,55.0,10.0,4.0,0,0,14,2,2.5,8.187500000000002
4,4,0.0,6,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,1.0,5.7
5,4,21.0,6,2,1,1,0,0,36.0,16.0,4.0,12,0,10,2,0.8,139.9125
26,7,0.0,8,4,1,0,0,0,0.0,0.0,0.0,0,0,13,4,0.2692307692307692,4.14
3,4,3.0,6,0,0,0,0,0,18.0,0.0,0.0,0,0,6,0,1.3333333333333333,2.9400000000000004
3,3,4.0,6,0,0,0,0,0,24.0,0.0,0.0,0,0,6,0,1.0,5.760000000000001
8,8,3.0,10,8,1,0,0,0,30.0,24.0,3.0,0,0,19,8,1.0,30.930000000000003
6,3,14.0,2,3,0,0,0,0,12.0,24.0,0.0,0,0,5,3,0.5,26.25
15,4,21.0,4,0,1,0,0,0,24.0,0.0,4.0,0,0,5,0,0.26666666666666666,38.98125
8,7,10.0,8,0,0,0,0,0,48.0,0.0,0.0,0,0,8,0,0.875,9.5
8,5,9.0,5,2,0,0,0,0,30.0,16.0,0.0,0,0,7,2,0.625,26.55
8,5,19.0,6,3,1,1,0,0,36.0,24.0,4.0,12,0,11,3,0.625,152.2375
8,3,21.0,5,3,1,1,0,0,30.0,24.0,4.0,12,0,10,3,0.375,136.76250000000002
21,6,19.0,10,6,2,1,0,0,60.0,48.0,8.0,12,0,19,6,0.2857142857142857,153.2325
12,6,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5,1.65
13,6,8.0,4,0,0,0,0,0,24.0,0.0,0.0,0,0,4,0,0.46153846153846156,4.4
5,6,14.0,11,5,2,1,1,4,66.0,40.0,8.0,12,4,20,6,1.2,153.2325
10,7,7.0,9,3,2,0,0,0,54.0,21.0,8.0,0,0,14,3,0.7,46.1125
28,19,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.6785714285714286,0.3
4,4,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,1.62
5,3,9.0,5,2,1,1,0,0,30.0,16.0,4.0,12,0,9,2,0.6,46.9125
7,11,3.0,4,0,2,0,0,0,12.0,0.0,6.0,0,0,6,0,1.5714285714285714,4.74
10,6,21.0,10,2,1,0,0,0,60.0,16.0,4.0,0,0,13,2,0.6,132.16875000000002
10,6,11.0,9,4,1,1,0,0,54.0,32.0,4.0,12,0,15,4,0.6,94.4625
1,10,8.0,8,1,0,0,0,0,48.0,8.0,0.0,0,0,9,1,10.0,10.4
12,5,6.0,4,0,1,0,0,0,24.0,0.0,4.0,0,0,5,0,0.4166666666666667,9.75
5,6,6.0,2,1,1,0,0,0,12.0,6.0,4.0,0,0,4,1,1.2,11.325
13,6,0.0,6,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,0.46153846153846156,2.640000000000001
4,3,5.0,6,1,1,1,1,4,30.0,5.0,4.0,12,4,10,2,0.75,51.65625
10,5,4.0,10,5,1,1,0,0,40.0,20.0,4.0,12,0,17,5,0.5,52.08
1,3,4.0,5,1,1,1,0,0,20.0,4.0,4.0,12,0,8,1,3.0,14.31
6,4,0.0,4,2,1,0,0,0,0.0,0.0,0.0,0,0,7,2,0.6666666666666666,9.840000000000002
8,5,3.0,4,0,0,0,0,0,12.0,0.0,0.0,0,0,4,0,0.625,0.9
10,6,3.0,4,0,0,0,0,0,12.0,0.0,0.0,0,0,4,0,0.6,0.81
22,6,7.0,6,0,0,1,0,0,36.0,0.0,0.0,12,0,7,0,0.2727272727272727,26.775
4,11,3.0,4,0,0,0,0,0,12.0,0.0,0.0,0,0,4,0,2.75,0.75
4,6,4.0,4,0,1,1,0,0,16.0,0.0,4.0,12,0,6,0,1.5,16.080000000000002
13,2,8.0,3,0,0,0,0,0,18.0,0.0,0.0,0,0,3,0,0.15384615384615385,1.6
3,1,9.0,2,2,0,0,0,0,12.0,16.0,0.0,0,0,4,2,0.3333333333333333,14.5125
6,5,3.0,4,0,1,0,0,0,12.0,0.0,3.0,0,0,5,0,0.8333333333333334,2.61
5,6,3.0,6,0,0,0,0,0,18.0,0.0,0.0,0,0,6,0,1.2,1.2600000000000002
7,6,3.0,3,0,0,0,0,0,9.0,0.0,0.0,0,0,3,0,0.8571428571428571,0.6300000000000001
8,6,3.0,8,0,0,0,0,0,24.0,0.0,0.0,0,0,8,0,0.75,1.5300000000000002
12,8,1.0,6,5,4,1,0,0,6.0,5.0,4.0,12,0,16,5,0.6666666666666666,24.480000000000004
13,6,7.0,8,0,0,0,0,0,48.0,0.0,0.0,0,0,8,0,0.46153846153846156,5.6000000000000005
20,10,6.0,12,5,2,1,0,0,72.0,30.0,8.0,12,0,20,5,0.5,69.375
20,6,5.0,7,1,0,0,0,0,35.0,5.0,0.0,0,0,8,1,0.3,11.5625
4,5,5.0,8,1,1,1,0,0,40.0,5.0,4.0,12,0,11,1,1.25,23.25
5,3,18.0,4,3,1,1,1,4,24.0,24.0,4.0,12,4,10,4,0.6,153.2325
5,7,7.0,13,0,1,0,0,0,78.0,0.0,4.0,0,0,14,0,1.4,20.2125
8,4,18.0,10,3,2,1,0,0,60.0,24.0,8.0,12,0,16,3,0.5,153.2325
3,3,20.0,10,3,1,1,0,0,60.0,24.0,4.0,12,0,15,3,1.0,153.2325
2,3,5.0,5,2,0,1,0,0,25.0,10.0,0.0,12,0,8,2,1.5,20.125
4,3,20.0,3,3,1,1,0,0,18.0,24.0,4.0,12,0,8,3,0.75,153.2325
9,6,8.0,3,2,0,0,0,0,18.0,16.0,0.0,0,0,5,2,0.6666666666666666,7.649999999999999
5,3,6.0,4,0,1,1,0,0,24.0,0.0,4.0,12,0,6,0,0.6,23.25
3,3,6.0,4,1,1,1,0,0,24.0,6.0,4.0,12,0,7,1,1.0,23.7
3,11,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3.6666666666666665,0.12
3,3,9.0,6,3,2,1,1,4,36.0,24.0,8.0,12,4,13,4,1.0,104.85
6,3,21.0,6,3,1,1,1,4,36.0,24.0,4.0,12,4,12,4,0.5,153.2325
4,2,9.0,4,2,0,0,0,0,24.0,16.0,0.0,0,0,6,2,0.5,16.65
5,3,6.0,5,0,1,0,0,0,30.0,0.0,4.0,0,0,6,0,0.6,9.0
5,2,5.0,5,0,0,0,0,0,25.0,0.0,0.0,0,0,5,0,0.4,2.5625000000000004
5,3,12.0,3,2,1,0,0,0,18.0,16.0,4.0,0,0,6,2,0.6,43.425
13,5,2.0,8,1,0,0,0,0,16.0,2.0,0.0,0,0,9,1,0.38461538461538464,4.32
8,6,3.0,15,2,1,0,0,0,45.0,6.0,3.0,0,0,18,2,0.75,11.25
9,2,2.0,8,0,1,0,0,0,16.0,0.0,2.0,0,0,9,0,0.2222222222222222,5.550000000000001
7,3,5.0,6,3,1,1,0,0,30.0,15.0,4.0,12,0,11,3,0.42857142857142855,17.96875
20,7,0.0,6,1,1,0,0,0,0.0,0.0,0.0,0,0,8,1,0.35,1.05
6,4,0.0,4,2,1,1,0,0,0.0,0.0,0.0,12,0,8,2,0.6666666666666666,12.06
6,4,24.0,16,6,1,1,0,0,96.0,48.0,4.0,12,0,24,6,0.6666666666666666,153.2325
3,8,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2.6666666666666665,0.36
8,3,0.0,2,1,0,0,0,0,0.0,0.0,0.0,0,0,3,1,0.375,0.5700000000000001
6,4,3.0,13,4,1,1,0,0,39.0,12.0,3.0,12,0,19,4,0.6666666666666666,23.58
5,4,4.0,4,4,1,0,0,0,16.0,16.0,4.0,0,0,9,4,0.8,13.980000000000002
8,4,4.0,8,1,1,0,0,0,32.0,4.0,4.0,0,0,10,1,0.5,7.2
2,3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.5,0.18
5,5,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.0,0.48
11,5,7.0,4,0,0,0,0,0,24.0,0.0,0.0,0,0,4,0,0.45454545454545453,2.275
7,5,3.0,4,0,0,0,0,0,12.0,0.0,0.0,0,0,4,0,0.7142857142857143,1.35
10,5,9.0,9,1,0,0,0,0,54.0,8.0,0.0,0,0,10,1,0.5,23.85
9,4,10.0,3,0,0,0,0,0,18.0,0.0,0.0,0,0,3,0,0.4444444444444444,6.5
1,2,0.0,2,1,0,0,0,0,0.0,0.0,0.0,0,0,3,1,2.0,3.69
16,5,0.0,12,0,0,0,0,0,0.0,0.0,0.0,0,0,12,0,0.3125,0.27
12,6,0.0,6,6,0,0,0,0,0.0,0.0,0.0,0,0,12,6,0.5,1.3200000000000005
32,19,20.0,9,0,0,0,0,0,54.0,0.0,0.0,0,0,9,0,0.59375,14.125
17,10,10.0,10,0,0,0,0,0,60.0,0.0,0.0,0,0,10,0,0.5882352941176471,6.875
10,4,6.0,5,4,1,0,0,0,30.0,24.0,4.0,0,0,10,4,0.4,11.55
14,8,4.0,9,0,0,0,0,0,36.0,0.0,0.0,0,0,9,0,0.5714285714285714,3.24
18,7,21.0,11,8,4,1,0,0,66.0,64.0,16.0,12,0,24,8,0.3888888888888889,153.2325
9,6,21.0,10,6,2,0,0,0,60.0,48.0,8.0,0,0,18,6,0.6666666666666666,153.2325
1,2,5.0,2,1,1,0,0,0,10.0,5.0,4.0,0,0,4,1,2.0,4.9375
2,2,14.0,9,0,0,1,0,0,54.0,0.0,0.0,12,0,10,0,1.0,57.400000000000006
3,2,11.0,6,1,0,1,0,0,36.0,8.0,0.0,12,0,8,1,0.6666666666666666,48.88125
5,6,11.0,12,5,4,1,1,4,72.0,40.0,16.0,12,4,23,6,1.2,153.2325
7,1,6.0,0,1,1,0,0,0,0.0,6.0,4.0,0,0,2,1,0.14285714285714285,7.575
28,5,4.0,8,5,0,0,0,0,32.0,20.0,0.0,0,0,13,5,0.17857142857142858,13.65
6,8,22.0,5,2,1,1,0,0,30.0,16.0,4.0,12,0,9,2,1.3333333333333333,153.2325
5,4,7.0,4,0,0,0,0,0,24.0,0.0,0.0,0,0,4,0,0.8,3.1500000000000004
4,4,7.0,4,4,0,0,0,0,24.0,28.0,0.0,0,0,8,4,1.0,25.9
18,6,6.0,10,0,0,0,0,0,60.0,0.0,0.0,0,0,10,0,0.3333333333333333,5.25
1,1,5.0,2,0,0,0,0,0,10.0,0.0,0.0,0,0,2,0,1.0,0.46875
2,6,24.0,7,2,0,1,0,0,42.0,16.0,0.0,12,0,10,2,3.0,144.0
18,3,0.0,4,0,0,0,0,0,0.0,0.0,0.0,0,0,4,0,0.16666666666666666,0.12
10,3,7.0,8,2,1,1,0,0,48.0,14.0,4.0,12,0,12,2,0.3,25.725
6,6,10.0,7,1,0,0,0,0,42.0,8.0,0.0,0,0,8,1,1.0,24.250000000000004
4,6,2.0,6,1,0,0,0,0,12.0,2.0,0.0,0,0,7,1,1.5,9.15
5,3,3.0,11,4,3,1,0,0,33.0,12.0,9.0,12,0,19,4,0.6,48.15
7,3,5.0,9,3,2,1,0,0,45.0,15.0,8.0,12,0,15,3,0.42857142857142855,52.78125
2,3,18.0,10,3,1,1,0,0,60.0,24.0,4.0,12,0,15,3,1.5,153.2325
12,7,6.0,7,4,1,0,0,0,42.0,24.0,4.0,0,0,12,4,0.5833333333333334,24.9375
8,6,9.0,6,0,0,0,0,0,36.0,0.0,0.0,0,0,6,0,0.75,6.862500000000001
8,5,9.0,5,2,0,1,0,0,30.0,16.0,0.0,12,0,8,2,0.625,33.974999999999994
2,2,3.0,5,2,1,1,0,0,15.0,6.0,3.0,12,0,9,2,1.0,21.9
8,6,5.0,2,3,2,1,1,4,10.0,15.0,8.0,12,4,9,4,0.75,62.40625000000001
11,3,11.0,14,5,0,0,0,0,84.0,40.0,0.0,0,0,19,5,0.2727272727272727,55.48125
3,5,4.0,8,1,0,0,0,0,32.0,4.0,0.0,0,0,9,1,1.6666666666666667,12.420000000000002
7,3,7.0,3,1,1,0,0,0,18.0,7.0,4.0,0,0,5,1,0.42857142857142855,7.262500000000001
5,4,22.0,8,5,1,1,0,0,48.0,40.0,4.0,12,0,15,5,0.8,153.2325
2,4,8.0,5,1,0,0,0,0,30.0,8.0,0.0,0,0,6,1,2.0,7.7
6,2,9.0,5,0,0,0,0,0,30.0,0.0,0.0,0,0,5,0,0.3333333333333333,5.0625
12,3,19.0,2,2,0,0,0,0,12.0,16.0,0.0,0,0,4,2,0.25,29.925
7,6,4.0,12,1,1,1,1,4,48.0,4.0,4.0,12,4,16,2,0.8571428571428571,51.39
5,6,7.0,6,3,1,1,0,0,36.0,21.0,4.0,12,0,11,3,1.2,56.087500000000006
5,5,0.0,9,5,1,1,0,0,0.0,0.0,0.0,12,0,16,5,1.0,23.340000000000003
2,5,11.0,13,1,1,1,1,4,78.0,8.0,4.0,12,4,17,2,2.5,148.225
13,8,3.0,10,4,2,1,0,0,30.0,12.0,6.0,12,0,17,4,0.6153846153846154,29.22000000000001
2,2,0.0,6,0,2,0,0,0,0.0,0.0,0.0,0,0,8,0,1.0,15.840000000000002
3,3,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,1.0,0.6000000000000001
4,3,0.0,4,0,0,0,0,0,0.0,0.0,0.0,0,0,4,0,0.75,1.29
4,4,0.0,7,2,0,0,0,0,0.0,0.0,0.0,0,0,9,2,1.0,11.340000000000002
26,9,0.0,9,2,0,0,0,0,0.0,0.0,0.0,0,0,11,2,0.34615384615384615,0.0
10,5,8.0,8,3,1,0,0,0,48.0,24.0,4.0,0,0,12,3,0.5,34.0
8,5,9.0,2,0,0,0,0,0,12.0,0.0,0.0,0,0,2,0,0.625,1.5750000000000002
4,4,6.0,4,0,0,0,0,0,24.0,0.0,0.0,0,0,4,0,1.0,1.65
7,4,8.0,5,2,1,1,0,0,30.0,16.0,4.0,12,0,9,2,0.5714285714285714,33.45
5,4,12.0,6,3,1,1,0,0,36.0,24.0,4.0,12,0,11,3,0.8,71.625
11,12,4.0,10,2,2,0,0,0,40.0,8.0,8.0,0,0,14,2,1.0909090909090908,12.75
13,7,15.0,6,3,0,0,0,0,36.0,24.0,0.0,0,0,9,3,0.5384615384615384,54.0
10,2,8.0,5,0,0,0,0,0,30.0,0.0,0.0,0,0,5,0,0.2,8.799999999999999
12,4,8.0,12,4,0,1,0,0,72.0,32.0,0.0,12,0,17,4,0.3333333333333333,68.4
6,3,5.0,8,4,1,1,0,0,40.0,20.0,4.0,12,0,14,4,0.5,24.562500000000004
16,9,10.0,6,12,6,1,0,0,36.0,96.0,24.0,12,0,25,12,0.5625,153.2325
4,3,11.0,4,1,0,0,0,0,24.0,8.0,0.0,0,0,5,1,0.75,16.6375
9,5,10.0,7,3,1,0,0,0,42.0,24.0,4.0,0,0,11,3,0.5555555555555556,45.375
12,8,1.0,6,5,2,1,0,0,6.0,5.0,2.0,12,0,14,5,0.6666666666666666,30.960000000000004
8,4,0.0,4,0,0,0,0,0,0.0,0.0,0.0,0,0,4,0,0.5,1.92
11,6,0.0,4,0,0,0,0,0,0.0,0.0,0.0,0,0,4,0,0.5454545454545454,3.0
15,8,0.0,8,0,0,0,0,0,0.0,0.0,0.0,0,0,8,0,0.5333333333333333,2.28
14,6,1.0,6,0,0,0,0,0,6.0,0.0,0.0,0,0,6,0,0.42857142857142855,2.5200000000000005
4,4,1.0,3,0,0,0,0,0,3.0,0.0,0.0,0,0,3,0,1.0,1.02
30,10,2.0,12,4,0,0,0,0,24.0,8.0,0.0,0,0,16,4,0.3333333333333333,8.459999999999999
12,6,0.0,6,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,0.5,2.28
13,6,4.0,6,0,0,0,0,0,24.0,0.0,0.0,0,0,6,0,0.46153846153846156,3.24
8,2,7.0,6,1,1,0,0,0,36.0,7.0,4.0,0,0,8,1,0.25,17.587500000000002
15,9,3.0,6,3,1,1,0,0,18.0,9.0,3.0,12,0,11,3,0.6,20.040000000000003
4,3,8.0,5,2,1,1,1,4,30.0,16.0,4.0,12,4,10,3,0.75,94.85
1,3,9.0,15,1,1,1,0,0,90.0,8.0,4.0,12,0,18,1,3.0,53.77499999999999
5,9,6.0,9,3,0,0,0,0,54.0,18.0,0.0,0,0,12,3,1.8,15.1875
4,3,8.0,6,3,1,1,0,0,36.0,24.0,4.0,12,0,11,3,0.75,62.1
11,3,5.0,9,3,1,0,0,0,45.0,15.0,4.0,0,0,13,3,0.2727272727272727,18.9375
7,5,7.0,12,2,1,0,0,0,72.0,14.0,4.0,0,0,15,2,0.7142857142857143,23.1875
5,1,10.0,1,0,0,0,0,0,6.0,0.0,0.0,0,0,1,0,0.2,8.625
7,6,9.0,4,0,0,0,0,0,24.0,0.0,0.0,0,0,4,0,0.8571428571428571,4.949999999999999
18,10,6.0,12,0,1,0,0,0,72.0,0.0,4.0,0,0,13,0,0.5555555555555556,17.7
1,2,7.0,3,0,0,0,0,0,18.0,0.0,0.0,0,0,3,0,2.0,6.78125
16,4,6.0,6,0,3,0,0,0,36.0,0.0,12.0,0,0,9,0,0.25,15.075
9,4,8.0,6,0,0,0,0,0,36.0,0.0,0.0,0,0,6,0,0.4444444444444444,5.0
11,3,14.0,4,0,0,0,0,0,24.0,0.0,0.0,0,0,4,0,0.2727272727272727,7.7
5,3,15.0,4,3,0,0,0,0,24.0,24.0,0.0,0,0,7,3,0.6,47.25
4,2,0.0,6,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,0.5,2.58
16,7,8.0,10,6,1,0,0,0,60.0,48.0,4.0,0,0,17,6,0.4375,40.5
7,4,0.0,6,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,0.5714285714285714,2.5200000000000005
1,4,9.0,2,1,0,0,0,0,12.0,8.0,0.0,0,0,3,1,4.0,4.1625000000000005
8,5,2.0,10,1,1,1,0,0,20.0,2.0,2.0,12,0,13,1,0.625,17.28
11,5,3.0,6,1,0,0,0,0,18.0,3.0,0.0,0,0,7,1,0.45454545454545453,9.15
3,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.6666666666666666,0.3
5,2,9.0,3,0,0,0,0,0,18.0,0.0,0.0,0,0,3,0,0.4,4.7250000000000005
10,5,0.0,5,0,0,0,0,0,0.0,0.0,0.0,0,0,5,0,0.5,0.36
17,7,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.4117647058823529,0.36
12,7,8.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5833333333333334,2.8
9,5,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.5555555555555556,3.0
9,6,0.0,6,0,0,0,0,0,0.0,0.0,0.0,0,0,6,0,0.6666666666666666,1.4400000000000002
7,7,4.0,3,3,2,1,0,0,12.0,12.0,8.0,12,0,9,3,1.0,26.67
3,3,6.0,13,5,2,1,0,0,78.0,30.0,8.0,12,0,21,5,1.0,46.125
5,3,7.0,12,4,3,1,0,0,72.0,28.0,12.0,12,0,20,4,0.6,70.17500000000001
2,3,6.0,6,2,1,0,0,0,36.0,12.0,4.0,0,0,9,2,1.5,24.075000000000003
8,7,7.0,9,5,3,0,0,0,54.0,35.0,12.0,0,0,17,5,0.875,68.11875
5,4,10.0,4,1,0,0,0,0,24.0,8.0,0.0,0,0,5,1,0.8,13.375000000000002
10,4,21.0,8,4,1,1,0,0,48.0,32.0,4.0,12,0,14,4,0.4,153.2325
13,4,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.3076923076923077,1.08
8,4,0.0,3,0,0,0,0,0,0.0,0.0,0.0,0,0,3,0,0.5,0.9
7,5,9.0,10,5,3,1,0,0,60.0,40.0,12.0,12,0,19,5,0.7142857142857143,84.9375
4,2,4.0,6,3,1,1,0,0,24.0,12.0,4.0,12,0,11,3,0.5,33.81
8,7,11.0,8,4,1,1,0,0,48.0,32.0,4.0,12,0,14,4,0.875,87.175
3,4,4.0,5,2,1,1,0,0,20.0,8.0,4.0,12,0,9,2,1.3333333333333333,24.0
8,4,4.0,12,3,1,1,1,4,48.0,12.0,4.0,12,4,18,4,0.5,50.94
4,2,20.0,5,2,1,1,0,0,30.0,16.0,4.0,12,0,9,2,0.5,107.5
4,3,3.0,4,1,1,1,0,0,12.0,3.0,3.0,12,0,7,1,0.75,20.700000000000003
4,3,0.0,3,0,0,0,0,0,0.0,0.0,0.0,0,0,3,0,0.75,1.62
2,8,18.0,12,3,1,1,0,0,72.0,24.0,4.0,12,0,17,3,4.0,153.2325
22,8,21.0,22,8,3,1,0,0,132.0,64.0,12.0,12,0,34,8,0.36363636363636365,153.2325
5,5,5.0,6,2,1,1,0,0,30.0,10.0,4.0,12,0,10,2,1.0,30.9375
6,5,4.0,9,3,1,1,0,0,36.0,12.0,4.0,12,0,14,3,0.8333333333333334,30.78
4,6,5.0,6,3,1,1,0,0,30.0,15.0,4.0,12,0,11,3,1.5,30.750000000000007
